PL,PW,INL,ML,Frequency,S11
26.0,34.0,6.0,14,2.7190001010895,-10.297751045
26.0,34.0,6.0,16,2.7430000305176,-14.440729773654
26.0,34.0,6.0,18,2.7400000095367,-25.947530382988
26.0,34.0,6.0,20,2.7309999465942,-23.191664978397
26.0,34.0,7.33333,14,2.7160000801086,-20.728155462051
26.0,34.0,7.33333,16,2.7190001010895,-26.670058905929
26.0,34.0,7.33333,18,2.7160000801086,-15.025979829401
26.0,34.0,7.33333,20,2.710000038147,-11.098720087305
26.0,34.0,8.66667,14,2.6979999542236,-14.062411819381
26.0,34.0,8.66667,16,2.6979999542236,-9.7514805906257
26.0,34.0,8.66667,18,2.691999912262,-7.3467488778249
26.0,34.0,10.0,14,2.6710000038147,-5.6857201380504
26.0,36.25,6.0,14,2.7039999961853,-12.108133624095
26.0,36.25,6.0,16,2.7249999046326,-17.856271175289
26.0,36.25,6.0,18,2.7219998836517,-37.40035427638
26.0,36.25,6.0,20,2.7160000801086,-17.511975600801
26.0,36.25,7.33333,14,2.7009999752045,-33.081283463581
26.0,36.25,7.33333,16,2.7039999961853,-18.688015697795
26.0,38.5,6.0,16,2.7070000171661,-24.63049028631
26.0,38.5,6.0,18,2.7070000171661,-21.81647693728
26.0,38.5,6.0,20,2.7009999752045,-14.072520752851
26.0,38.5,7.33333,14,2.6860001087189,-25.519842966178
26.0,38.5,7.33333,16,2.6860001087189,-14.521951517544
26.0,40.75,6.0,16,2.691999912262,-35.850662454963
26.0,40.75,6.0,18,2.6889998912811,-16.391845546895
26.0,43.0,6.0,14,2.6679999828339,-34.616681091488
27.75,34.0,6.0,14,2.5120000839233,-9.0457388390427
27.75,34.0,6.0,16,2.5659999847412,-9.5586062077896
27.75,34.0,6.0,18,2.5840001106262,-12.838966621841
27.75,34.0,6.0,20,2.5810000896454,-19.052253433077
27.75,34.0,7.33333,14,2.545000076294,-12.595665963018
27.75,34.0,7.33333,16,2.5659999847412,-16.569784902774
27.75,34.0,7.33333,18,2.569000005722,-31.403045118295
27.75,34.0,7.33333,20,2.5629999637604,-21.39564824351
27.75,34.0,8.66667,14,2.545000076294,-32.92504524474
27.75,34.0,8.66667,16,2.5510001182556,-20.762750931575
27.75,34.0,8.66667,18,2.5480000972748,-13.654261761972
27.75,34.0,10.0,14,2.5269999504089,-11.42101719286
27.75,34.0,10.0,16,2.5269999504089,-8.5247361862759
27.75,36.25,6.0,14,2.5060000419617,-10.374559445449
27.75,36.25,6.0,16,2.5510001182556,-11.067603255797
27.75,36.25,6.0,18,2.5659999847412,-15.253043155223
27.75,36.25,6.0,20,2.5629999637604,-25.33943398006
27.75,36.25,7.33333,14,2.5329999923706,-15.25708997053
27.75,36.25,7.33333,16,2.5510001182556,-21.220893367035
27.75,36.25,7.33333,18,2.5539999008179,-29.405843757121
27.75,36.25,8.66667,14,2.5299999713898,-26.835097764934
27.75,36.25,8.66667,16,2.5360000133514,-16.167095261664
27.75,38.5,6.0,16,2.5360000133514,-13.11535397921
27.75,38.5,6.0,18,2.5510001182556,-18.753852546788
27.75,38.5,6.0,20,2.5480000972748,-39.283788441648
27.75,38.5,7.33333,14,2.5209999084473,-19.293505092196
27.75,38.5,7.33333,16,2.5360000133514,-33.18836306895
27.75,38.5,7.33333,18,2.5390000343323,-20.382399036925
27.75,38.5,8.66667,14,2.5179998874664,-18.837061351331
27.75,38.5,8.66667,16,2.5209999084473,-13.118049084411
27.75,40.75,6.0,16,2.5269999504089,-15.960395521016
27.75,40.75,6.0,18,2.5360000133514,-25.52224940208
27.75,40.75,6.0,20,2.5360000133514,-23.912633294547
27.75,40.75,7.33333,14,2.5090000629425,-27.424887098786
27.75,40.75,7.33333,16,2.5239999294281,-26.99514378555
27.75,40.75,7.33333,18,2.5269999504089,-15.855866102971
27.75,43.0,6.0,18,2.5239999294281,-36.270225243621
27.75,43.0,6.0,20,2.5239999294281,-17.642168395573
29.5,34.0,6.0,14,2.3529999256134,-9.3603093531481
29.5,34.0,6.0,16,2.3829998970032,-8.2034192689865
29.5,34.0,6.0,18,2.430999994278,-9.0764294900585
29.5,34.0,6.0,20,2.4430000782013,-11.776311601178
29.5,34.0,7.33333,14,2.3770000934601,-11.024813581832
29.5,34.0,7.33333,16,2.4100000858307,-11.259680645239
29.5,34.0,7.33333,18,2.4279999732971,-14.23500556703
29.5,34.0,7.33333,20,2.4279999732971,-20.804908135957
29.5,34.0,8.66667,14,2.3949999809265,-16.407124835728
29.5,34.0,8.66667,16,2.4130001068115,-20.873900926851
29.5,34.0,8.66667,18,2.4159998893738,-38.022515168429
29.5,34.0,8.66667,20,2.4159998893738,-19.066121489288
29.5,34.0,10.0,14,2.3919999599457,-23.478452397678
29.5,34.0,10.0,16,2.3980000019073,-16.279324448454
29.5,36.25,6.0,14,2.3469998836517,-10.57875073223
29.5,36.25,6.0,16,2.3770000934601,-9.384890229497
29.5,36.25,6.0,18,2.4159998893738,-10.415418808897
29.5,36.25,6.0,20,2.4279999732971,-13.649495924464
29.5,36.25,7.33333,14,2.3680000305176,-12.888339809963
29.5,36.25,7.33333,16,2.3980000019073,-13.218311347153
29.5,36.25,7.33333,18,2.4130001068115,-17.238324916632
29.5,36.25,7.33333,20,2.4130001068115,-28.515420676185
29.5,36.25,8.66667,14,2.385999917984,-20.886403959268
29.5,36.25,8.66667,16,2.3980000019073,-30.422396228987
29.5,36.25,8.66667,18,2.404000043869,-23.169220147839
29.5,36.25,10.0,14,2.3800001144409,-17.703821427105
29.5,38.5,6.0,14,2.3440001010895,-12.17266922226
29.5,38.5,6.0,16,2.3710000514984,-10.758923468895
29.5,38.5,6.0,18,2.4010000228882,-12.010737278047
29.5,38.5,6.0,20,2.4130001068115,-16.068272468788
29.5,38.5,7.33333,14,2.3619999885559,-15.280614311872
29.5,38.5,7.33333,16,2.385999917984,-15.834206764506
29.5,38.5,7.33333,18,2.3980000019073,-21.776503302569
